tracking_number,carrier,shipment_date,delivery_date,origin_city,destination_city,weight,package_dimensions
4471212485,UPS,12/31/2022,1/17/2023,Milwaukee,Colorado Springs,25.68,Medium
7339995025,FedEx,12/31/2022,1/26/2023,San Bernardino,Glendale,36.72,Small
7782514289,FedEx,12/31/2022,1/11/2023,Norfolk,San Diego,74.12,Small
5342638306,USPS,12/31/2022,1/19/2023,Boston,New York City,12.27,Medium
5253425473,FedEx,12/31/2022,1/13/2023,Minneapolis,Bakersfield,20.16,Small
8399073924,UPS,12/31/2022,1/8/2023,Fort Wayne,Fort Worth,56.44,Large
4349940002,USPS,12/31/2022,1/15/2023,Austin,San Diego,1.06,Small
9207899186,USPS,12/31/2022,1/26/2023,Saint Paul,Minneapolis,43.49,Small
3467478802,FedEx,12/31/2022,1/6/2023,Toledo,Charlotte,20.34,Small
9477819874,USPS,12/31/2022,1/28/2023,Scottsdale,Oakland,57.39,Large
9875144000,USPS,12/31/2022,1/21/2023,Raleigh,Virginia Beach,43.81,Medium
4506914021,FedEx,12/31/2022,1/17/2023,Long Beach,Laredo,10.39,Large
6771409867,FedEx,12/31/2022,1/18/2023,Jersey City,Madison,44.7,Medium
8990699301,USPS,12/31/2022,1/28/2023,Mesa,Scottsdale,9.78,Small
8377085545,FedEx,12/31/2022,1/12/2023,Raleigh,Fremont,15.85,Large
9927190162,UPS,12/31/2022,1/19/2023,Saint Paul,Toledo,34.27,Large
6927380767,UPS,12/31/2022,1/3/2023,St. Louis,Detroit,54.44,Large
6844330356,UPS,12/31/2022,1/3/2023,Columbus,Fremont,87.74,Medium
2989048133,FedEx,12/31/2022,1/23/2023,Toledo,Glendale,40.04,Medium
2720723640,UPS,12/31/2022,1/25/2023,Madison,Glendale,31.85,Small
6886069270,FedEx,12/31/2022,1/23/2023,Laredo,Philadelphia,28.1,Medium
5234483122,FedEx,12/31/2022,1/6/2023,Omaha,Anaheim,57.44,Large
3059722310,FedEx,12/31/2022,1/9/2023,Oklahoma City,San Diego,87.92,Small
8857091280,UPS,12/31/2022,1/11/2023,Newark,Fort Worth,50.68,Small
2525566035,UPS,12/31/2022,1/21/2023,Tampa,Austin,13.51,Medium
9274169822,UPS,12/31/2022,1/4/2023,Wichita,Irvine,30.57,Small
8592328448,FedEx,12/31/2022,1/7/2023,Milwaukee,Lexington,3.13,Small
6265283475,UPS,12/31/2022,1/29/2023,Wichita,Scottsdale,70.58,Small
8368119897,FedEx,12/31/2022,1/20/2023,Madison,Oklahoma City,92.73,Large
3605614913,FedEx,12/31/2022,1/24/2023,Nashville,Aurora,59.46,Large
7343509451,USPS,12/31/2022,1/26/2023,Philadelphia,Houston,16.74,Medium
2514966255,USPS,12/31/2022,1/29/2023,Virginia Beach,Arlington,29.66,Medium
3986762939,USPS,12/31/2022,1/17/2023,Corpus Christi,Jersey City,14.73,Medium
7872480153,USPS,12/31/2022,1/16/2023,Long Beach,San Bernardino,63.54,Small
2332388285,USPS,12/31/2022,1/4/2023,Memphis,Newark,43.72,Large
6329298232,FedEx,12/31/2022,1/18/2023,Virginia Beach,Newark,97.79,Large
5386561598,UPS,12/31/2022,1/7/2023,Plano,Dallas,97.23,Medium
9994715144,FedEx,12/31/2022,1/22/2023,Milwaukee,San Diego,71.82,Large
1681832137,FedEx,12/31/2022,1/28/2023,Birmingham,Glendale,64.02,Small
2019286219,FedEx,12/31/2022,1/2/2023,Columbus,Lubbock,79.45,Small
8840306716,FedEx,12/31/2022,1/17/2023,Cincinnati,Oklahoma City,32.25,Large
8678963826,USPS,12/31/2022,1/17/2023,Louisville,Lubbock,77.26,Large
1676669259,FedEx,12/31/2022,1/3/2023,Anaheim,Fort Wayne,99.9,Medium
5367774412,UPS,12/31/2022,1/7/2023,Jersey City,Columbus,12.92,Medium
9646716090,UPS,12/31/2022,1/10/2023,Baltimore,Boise,1.98,Large
1680878674,USPS,12/31/2022,1/24/2023,Oklahoma City,El Paso,13.26,Small
3577248145,UPS,12/31/2022,1/22/2023,Aurora,Saint Paul,69.37,Medium
5351665234,UPS,12/31/2022,1/13/2023,Chula Vista,Colorado Springs,71.12,Small
6152193966,FedEx,12/31/2022,1/11/2023,St. Louis,Charlotte,49.42,Large
7543381644,USPS,12/31/2022,1/24/2023,Phoenix,Fresno,68.8,Large
3143471558,USPS,12/31/2022,1/7/2023,Garland,Plano,37.68,Small
1115313035,FedEx,12/31/2022,1/23/2023,San Diego,Denver,99.46,Small
2148733073,FedEx,12/31/2022,1/21/2023,Jacksonville,Denver,90.44,Large
1961636449,USPS,12/31/2022,1/10/2023,Pittsburgh,Gilbert,27.79,Large
6078838479,UPS,12/31/2022,1/25/2023,San Antonio,Winston-Salem,35.23,Small
9410529333,USPS,12/31/2022,1/19/2023,Milwaukee,New York City,52.18,Medium
4396975351,UPS,12/31/2022,1/24/2023,Bakersfield,St. Louis,71.44,Medium
3661900199,UPS,12/31/2022,1/29/2023,Tampa,El Paso,67.85,Medium
6306791695,FedEx,12/31/2022,1/16/2023,Laredo,Baton Rouge,99.16,Medium
7961119307,FedEx,12/31/2022,1/5/2023,Glendale,Minneapolis,82.16,Large
8558351810,USPS,12/31/2022,1/26/2023,New Orleans,Hialeah,98.66,Large
6925161913,USPS,12/31/2022,1/24/2023,Scottsdale,Orlando,23.49,Large
7811951357,UPS,12/31/2022,1/4/2023,Oakland,Tucson,43.18,Medium
2912572520,USPS,12/31/2022,1/28/2023,Milwaukee,Charlotte,83.37,Medium
2831346104,USPS,12/31/2022,1/6/2023,San Bernardino,Baltimore,25.44,Medium
1703722748,FedEx,12/31/2022,1/1/2023,Anaheim,San Bernardino,10.58,Medium
7473841769,USPS,12/31/2022,1/5/2023,San Bernardino,Oklahoma City,36.03,Large
7514060251,FedEx,12/31/2022,1/22/2023,Milwaukee,Albuquerque,55.02,Large
2670685783,UPS,12/31/2022,1/16/2023,Birmingham,Norfolk,79.72,Small
6892207011,USPS,12/31/2022,1/21/2023,Plano,Richmond,77.67,Medium
8070188107,USPS,12/31/2022,1/14/2023,Glendale,Corpus Christi,98.06,Large
2457329906,FedEx,12/31/2022,1/15/2023,Tampa,Nashville,17.36,Medium
6780964321,UPS,12/31/2022,1/27/2023,Omaha,Charlotte,93.86,Large
